title,price
"Apple iPhone 15 (Black, 128 GB)","₹58,999"
"Apple iPhone 15 (Green, 128 GB)","₹58,749"
"Apple iPhone 15 (Pink, 128 GB)","₹58,999"
"Apple iPhone 15 Plus (Black, 128 GB)","₹64,999"
"Apple iPhone 15 Plus (Pink, 128 GB)","₹64,999"
"Motorola g45 5G (Viva Magenta, 128 GB)","₹11,999"
"Motorola G85 5G (Olive Green, 128 GB)","₹17,999"
"Motorola G85 5G (Viva Magenta, 128 GB)","₹17,999"
"Motorola G85 5G (Cobalt Blue, 128 GB)","₹17,999"
"Motorola G85 5G (Urban Grey, 128 GB)","₹17,999"
"Apple iPhone 15 Plus (Blue, 128 GB)","₹64,999"
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹11,999"
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,598"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹14,502"
"realme 12x 5G (Woodland Green, 128 GB)","₹13,499"
"realme 12x 5G (Twilight Purple, 128 GB)","₹13,499"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,184"
"Motorola g45 5G (Brilliant Green, 128 GB)","₹10,999"
"realme 12x 5G (Coral Red, 128 GB)","₹12,499"
"realme 12x 5G (Woodland Green, 128 GB)","₹12,499"
"Motorola g64 5G (Ice Lilac, 256 GB)","₹15,999"
"realme 12x 5G (Twilight Purple, 128 GB)","₹12,499"
"Motorola G85 5G (Urban Grey, 256 GB)","₹19,999"
